No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
15,Pregunta de única respuesta: Un asesor recibe una solicitud de reposición con modificación de precio que incluye un combo de audífonos y banda. ¿Qué procedimiento debe seguir el asesor para gestionar correctamente esta solicitud?,3.0,"Escalar el caso al supervisor para validación, en caso de dudas sobre la aplicación del combo o el precio.",FALSO,CCP,Reposición,Móvil,,CCP,CC
16,Pregunta de única respuesta: Un cliente VIP solicita reposición a domicilio. El consultor debe realizar las validaciones correspondientes antes de gestionar el envío. ¿Qué validación no aplica en este tipo de solicitud?,1.0,Validación en la Matriz de Crédito.,VERDADERO,CCP,Reposición,Móvil,,CCP,CC
16,Pregunta de única respuesta: Un cliente VIP solicita reposición a domicilio. El consultor debe realizar las validaciones correspondientes antes de gestionar el envío. ¿Qué validación no aplica en este tipo de solicitud?,2.0,Validación de titularidad.,FALSO,CCP,Reposición,Móvil,,CCP,CC
16,Pregunta de única respuesta: Un cliente VIP solicita reposición a domicilio. El consultor debe realizar las validaciones correspondientes antes de gestionar el envío. ¿Qué validación no aplica en este tipo de solicitud?,3.0,Validación de disponibilidad en NOTUS,FALSO,CCP,Reposición,Móvil,,CCP,CC
17,"Pregunta de única respuesta: Durante el agendamiento en NOTUS para una reposición con orden de compra, el consultor debe completar el campo “Número de reserva”. ¿Qué número debe ingresar el consultor en ese campo para continuar correctamente con el proceso?",1.0, El número de pedido de venta generado en SAP. ,VERDADERO,CCP,Reposición,Móvil,,CCP,CC
17,"Pregunta de única respuesta: Durante el agendamiento en NOTUS para una reposición con orden de compra, el consultor debe completar el campo “Número de reserva”. ¿Qué número debe ingresar el consultor en ese campo para continuar correctamente con el proceso?",2.0, El número de cédula del cliente.,FALSO,CCP,Reposición,Móvil,,CCP,CC
17,"Pregunta de única respuesta: Durante el agendamiento en NOTUS para una reposición con orden de compra, el consultor debe completar el campo “Número de reserva”. ¿Qué número debe ingresar el consultor en ese campo para continuar correctamente con el proceso?",3.0,El consecutivo de la solicitud en Poliedro.,FALSO,CCP,Reposición,Móvil,,CCP,CC
18,"Pregunta de única respuesta: Durante una reposición con orden de compra, el cliente solicita aplicar un descuento mayor al aprobado en la negociación inicial. ¿Qué acción debe tomar el consultor ante esta solicitud para garantizar el cumplimiento de las políticas y una atención adecuada?",1.0,Ajustar el valor en el Portal PAC solo si cuenta con aval del jefe inmediato.,VERDADERO,CCP,Reposición,Móvil,,CCP,CC
18,"Pregunta de única respuesta: Durante una reposición con orden de compra, el cliente solicita aplicar un descuento mayor al aprobado en la negociación inicial. ¿Qué acción debe tomar el consultor ante esta solicitud para garantizar el cumplimiento de las políticas y una atención adecuada?",2.0, Registrar el descuento directamente en SAP.,FALSO,CCP,Reposición,Móvil,,CCP,CC
18,"Pregunta de única respuesta: Durante una reposición con orden de compra, el cliente solicita aplicar un descuento mayor al aprobado en la negociación inicial. ¿Qué acción debe tomar el consultor ante esta solicitud para garantizar el cumplimiento de las políticas y una atención adecuada?",3.0,Aplicar el nuevo valor si el cliente lo autoriza verbalmente.,FALSO,CCP,Reposición,Móvil,,CCP,CC
19,"Pregunta de única respuesta: Una empresa del sector energético solicita una reposición de equipo mediante orden de compra. El consultor, por error, genera también un cargo a la factura de consumo del servicio. ¿Cuál es el riesgo principal de esta acción y qué medida debe tomar el consultor para corregirlo?",1.0,Se genera una doble facturación de impuestos; el consultor debe reportar a cartera para gestionar la compensación y evitar el doble cobro.,VERDADERO,CCP,Reposición,Móvil,,CCP,CC
19,"Pregunta de única respuesta: Una empresa del sector energético solicita una reposición de equipo mediante orden de compra. El consultor, por error, genera también un cargo a la factura de consumo del servicio. ¿Cuál es el riesgo principal de esta acción y qué medida debe tomar el consultor para corregirlo?",2.0,El cliente podría recibir el equipo duplicado; se debe cancelar el pedido.,FALSO,CCP,Reposición,Móvil,,CCP,CC
19,"Pregunta de única respuesta: Una empresa del sector energético solicita una reposición de equipo mediante orden de compra. El consultor, por error, genera también un cargo a la factura de consumo del servicio. ¿Cuál es el riesgo principal de esta acción y qué medida debe tomar el consultor para corregirlo?",3.0,"No hay riesgo, ya que el sistema ajusta automáticamente los cobros.",FALSO,CCP,Reposición,Móvil,,CCP,CC
20,Pregunta de única respuesta: Una empresa de logística solicita una reposición con descuento aplicado desde la bolsa de dinero. El consultor identifica que el valor del equipo supera el saldo disponible en la bolsa. ¿Qué debe hacer para asegurar una correcta gestión del descuento?,1.0,"Ajustar manualmente el valor en el portal PAC, previa autorización del jefe inmediato, y asegurar que el descuento no exceda el porcentaje aprobado",VERDADERO,CCP,Reposición,Móvil,,CCP,CC
20,Pregunta de única respuesta: Una empresa de logística solicita una reposición con descuento aplicado desde la bolsa de dinero. El consultor identifica que el valor del equipo supera el saldo disponible en la bolsa. ¿Qué debe hacer para asegurar una correcta gestión del descuento?,2.0,Aplicar el descuento completo y justificarlo en el sistema.,FALSO,CCP,Reposición,Móvil,,CCP,CC
20,Pregunta de única respuesta: Una empresa de logística solicita una reposición con descuento aplicado desde la bolsa de dinero. El consultor identifica que el valor del equipo supera el saldo disponible en la bolsa. ¿Qué debe hacer para asegurar una correcta gestión del descuento?,3.0, Solicitar al cliente que pague la diferencia sin modificar el sistema.,FALSO,CCP,Reposición,Móvil,,CCP,CC
1,Pregunta de única respuesta: Una empresa de transporte solicita la cancelación inmediata de 10 licencias VAS de geolocalización. ¿Qué información debe registrar el consultor de servicio en el ticket de cancelación dentro de la herramienta de precios?,1.0,"Fecha de corte o inmediata, cantidad de licencias, relación de líneas en Excel y datos del consultor.",VERDADERO,CCE,Novedades Vas,Internet fijo,,CCE,CC
1,Pregunta de única respuesta: Una empresa de transporte solicita la cancelación inmediata de 10 licencias VAS de geolocalización. ¿Qué información debe registrar el consultor de servicio en el ticket de cancelación dentro de la herramienta de precios?,2.0,Solo el nombre del paquete y la fecha de solicitud,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
1,Pregunta de única respuesta: Una empresa de transporte solicita la cancelación inmediata de 10 licencias VAS de geolocalización. ¿Qué información debe registrar el consultor de servicio en el ticket de cancelación dentro de la herramienta de precios?,3.0,Código de cliente y número de factura.,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
2,"Pregunta de única respuesta: Un consultor de servicio recibe una solicitud de un cliente que reporta fallas en el servicio de licenciamiento de antivirus VAS. Sin embargo, este tipo de casos debe ser gestionado por otra área. ¿Cuál es el canal adecuado para escalar esta incidencia de manera correcta?",1.0,"Línea *722, que gestiona incidencias de licenciamiento.",VERDADERO,CCE,Novedades Vas,Internet fijo,,CCE,CC
2,"Pregunta de única respuesta: Un consultor de servicio recibe una solicitud de un cliente que reporta fallas en el servicio de licenciamiento de antivirus VAS. Sin embargo, este tipo de casos debe ser gestionado por otra área. ¿Cuál es el canal adecuado para escalar esta incidencia de manera correcta?",2.0, Correo al equipo comercial.,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
2,"Pregunta de única respuesta: Un consultor de servicio recibe una solicitud de un cliente que reporta fallas en el servicio de licenciamiento de antivirus VAS. Sin embargo, este tipo de casos debe ser gestionado por otra área. ¿Cuál es el canal adecuado para escalar esta incidencia de manera correcta?",3.0, Chat corporativo de Claro.,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
3,"Pregunta de única respuesta: Un cliente solicita adquirir el producto de Servicios con licenciamiento VAS enfocado en productividad y seguridad. El consultor de servicio recibe la solicitud, pero este tipo de gestión debe ser atendida por otro equipo. ¿A qué área debe ser remitido el procedimiento para su correcta atención?",1.0,El comercial asignado,VERDADERO,CCE,Novedades Vas,Internet fijo,,CCE,CC
3,"Pregunta de única respuesta: Un cliente solicita adquirir el producto de Servicios con licenciamiento VAS enfocado en productividad y seguridad. El consultor de servicio recibe la solicitud, pero este tipo de gestión debe ser atendida por otro equipo. ¿A qué área debe ser remitido el procedimiento para su correcta atención?",2.0,El consultor del equipo,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
3,"Pregunta de única respuesta: Un cliente solicita adquirir el producto de Servicios con licenciamiento VAS enfocado en productividad y seguridad. El consultor de servicio recibe la solicitud, pero este tipo de gestión debe ser atendida por otro equipo. ¿A qué área debe ser remitido el procedimiento para su correcta atención?",3.0,Gestor Administrativo,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
4,"Pregunta de única respuesta:Durante una renovación, el área comercial activa un nuevo plan bundle VAS. Antes de ejecutar el cambio de plan en AC. ¿Qué validación debe realizar el consultor de cuidado al cliente para asegurar que el proceso se lleve a cabo correctamente?",1.0,Que el BackOffice VAS haya confirmado la entrega del servicio por parte del aliado.,VERDADERO,CCE,Novedades Vas,Internet fijo,,CCE,CC
4,"Pregunta de única respuesta:Durante una renovación, el área comercial activa un nuevo plan bundle VAS. Antes de ejecutar el cambio de plan en AC. ¿Qué validación debe realizar el consultor de cuidado al cliente para asegurar que el proceso se lleve a cabo correctamente?",2.0,Que el cliente haya firmado el contrato físico,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
4,"Pregunta de única respuesta:Durante una renovación, el área comercial activa un nuevo plan bundle VAS. Antes de ejecutar el cambio de plan en AC. ¿Qué validación debe realizar el consultor de cuidado al cliente para asegurar que el proceso se lleve a cabo correctamente?",3.0,Que el cliente tenga más de una línea activa,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
5,"Pregunta de única respuesta: Durante una auditoría interna, se detecta que varios clientes continúan recibiendo servicios VAS sin que se les haya generado facturación. Si esta situación es atendida por un consultor de servicio, ¿cuál podría ser la causa operativa más probable de esta inconsistencia?",1.0,El sistema de facturación está caído.,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
5,"Pregunta de única respuesta: Durante una auditoría interna, se detecta que varios clientes continúan recibiendo servicios VAS sin que se les haya generado facturación. Si esta situación es atendida por un consultor de servicio, ¿cuál podría ser la causa operativa más probable de esta inconsistencia?",2.0, Los clientes tienen contratos regulados.,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
5,"Pregunta de única respuesta: Durante una auditoría interna, se detecta que varios clientes continúan recibiendo servicios VAS sin que se les haya generado facturación. Si esta situación es atendida por un consultor de servicio, ¿cuál podría ser la causa operativa más probable de esta inconsistencia?",3.0, No se realizó el escalamiento al aliado en el aplicativo de tarifas y precios.,VERDADERO,CCE,Novedades Vas,Internet fijo,,CCE,CC
6,"Pregunta de única respuesta: Un cliente desea saber si, durante una suspensión temporal de su línea, el servicio de licenciamiento de Lookout Anti VAS también se verá afectado. El consultor de servicio atiende la solicitud y debe brindar una orientación precisa. ¿Qué información debe proporcionarse al cliente en este caso?",1.0,La suspensión afectará tanto la línea como la licencia del servicio.,FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
6,"Pregunta de única respuesta: Un cliente desea saber si, durante una suspensión temporal de su línea, el servicio de licenciamiento de Lookout Anti VAS también se verá afectado. El consultor de servicio atiende la solicitud y debe brindar una orientación precisa. ¿Qué información debe proporcionarse al cliente en este caso?",2.0,"Solo se suspenderá la licencia, independientemente del estado de la línea.",FALSO,CCE,Novedades Vas,Internet fijo,,CCE,CC
6,"Pregunta de única respuesta: Un cliente desea saber si, durante una suspensión temporal de su línea, el servicio de licenciamiento de Lookout Anti VAS también se verá afectado. El consultor de servicio atiende la solicitud y debe brindar una orientación precisa. ¿Qué información debe proporcionarse al cliente en este caso?",3.0,"La licencia no se verá afectada y continuará activa en el sistema, incluso si la línea está suspendida.",VERDADERO,CCE,Novedades Vas,Internet fijo,,CCE,CC
